timestamp,symbol,action,price,size,stop_loss,take_profit,rr_ratio,reason,result
2026-01-19T14:25:30.165706,EURUSD,LONG,1.1637378931045532,1000,1.1618103768144334,1.1671870180538721,2.0,SMA(10) > SMA(30) | ATR=0.00119,FILLED
2026-01-19T15:06:28.149493,EURUSD,LONG,1.05,1.12,1.1618103768144334,1.1671870180538721,2.0,Checks Passed | Sizing: 1.12 lots (200.00$ Risk),FILLED
2026-01-21T16:03:04.911548,USDJPY,SHORT,0.0,0.87,158.29150608607702,157.4320024762835,2.0,Checks Passed | Sizing: 0.87 lots (200.00$ Risk),FAILED
2026-01-21T16:03:35.862897,USDJPY,SHORT,0.0,0.87,158.29150608607702,157.4320024762835,2.0,Checks Passed | Sizing: 0.87 lots (200.00$ Risk),SUBMITTED
2026-01-21T16:04:10.173447,USDJPY,SHORT,0.0,0.84,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 0.84 lots (200.00$ Risk),SUBMITTED
2026-01-21T16:24:30.208005,USDJPY,SHORT,0.0,0.84,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 0.84 lots (200.00$ Risk),SUBMITTED
2026-01-21T16:30:45.213672,USDJPY,SHORT,0.0,0.84,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 0.84 lots (200.00$ Risk),FAILED
2026-01-21T16:31:29.189294,USDJPY,SHORT,0.0,0.84,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 0.84 lots (200.00$ Risk),FAILED
2026-01-21T16:33:30.198017,USDJPY,SHORT,0.0,0.84,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 0.84 lots (200.00$ Risk),FAILED
2026-01-21T16:34:38.055082,USDJPY,SHORT,0.0,0.84,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 0.84 lots (200.00$ Risk),SUBMITTED
2026-01-21T16:46:14.242761,USDJPY,SHORT,0.0,2.51,158.17839285714285,157.28321428571428,2.0,Checks Passed | Sizing: 2.51 lots (600.05$ Risk),SUBMITTED
2026-01-22T13:28:22.647646,USDJPY,LONG,0.0,2.52,157.92177636282784,158.81342969621932,2.0,Checks Passed | Sizing: 2.52 lots (598.97$ Risk),SUBMITTED
2026-01-22T13:29:10.166437,USDJPY,LONG,0.0,2.52,157.92177636282784,158.81342969621932,2.0,Checks Passed | Sizing: 2.52 lots (598.97$ Risk),SUBMITTED
2026-01-22T15:20:44.018442,USDJPY,LONG,0.0,2.82,157.9589667857143,158.75196642857142,2.0,Checks Passed | Sizing: 2.82 lots (597.35$ Risk),SUBMITTED
2026-01-22T23:49:59.876967,USDJPY,158.40122,LONG,NEUTRAL,SUBMITTED,3.57,Executed
2026-01-23T00:00:05.002056,USDJPY,158.44425,LONG,NEUTRAL,SUBMITTED,3.57,Executed
2026-01-23T01:00:05.001549,USDJPY,158.33342,LONG,NEUTRAL,SUBMITTED,3.57,Executed
2026-01-23T02:00:05.001734,USDJPY,158.30109,LONG,NEUTRAL,SUBMITTED,3.57,Executed
2026-01-23T03:00:05.000976,USDJPY,158.31594,LONG,NEUTRAL,SUBMITTED,3.57,Executed
2026-01-23T04:00:05.005976,USDJPY,158.42771,LONG,NEUTRAL,SUBMITTED,3.58,Executed
2026-01-23T05:00:05.001490,USDJPY,158.42551,LONG,NEUTRAL,SUBMITTED,3.58,Executed
2026-01-23T06:00:04.762885,USDJPY,158.4239,LONG,NEUTRAL,SUBMITTED,3.57,Executed
2026-01-23T07:00:04.863428,USDJPY,158.40018,SHORT,NEUTRAL,SUBMITTED,3.95,Executed
2026-01-23T08:00:04.958762,USDJPY,158.50419,SHORT,NEUTRAL,SUBMITTED,3.97,Executed
2026-01-23T09:00:04.994267,USDJPY,158.52365,SHORT,NEUTRAL,SUBMITTED,3.98,Executed
2026-01-23T10:00:05.003880,USDJPY,158.65824,SHORT,NEUTRAL,SUBMITTED,3.99,Executed
2026-01-23T11:00:05.002217,USDJPY,158.58763,SHORT,NEUTRAL,SUBMITTED,3.98,Executed
2026-01-24T15:29:38.991600,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Saturday)
2026-01-24T15:34:36.345749,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Saturday)
2026-01-24T16:00:04.971854,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Saturday)
2026-01-24T17:00:04.951681,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Saturday)
2026-01-24T18:01:31.030182,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Saturday)
2026-01-25T05:00:04.903812,9238f6e9-b16a-4e93-8611-89243f6e00d1,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T11:00:04.901301,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T12:00:04.697613,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T13:37:13.304150,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T14:00:04.904219,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T15:00:04.744818,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T16:00:04.646620,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-25T17:00:04.683289,530255df-d6d2-453a-910b-27b86d7f622a,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Time: Weekend (Sunday Pre-Open)
2026-01-26T10:00:04.929879,02bf6f00-a631-41d3-aa2e-84f25c6041fa,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-26T11:00:04.665377,02bf6f00-a631-41d3-aa2e-84f25c6041fa,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-26T12:00:04.745392,02bf6f00-a631-41d3-aa2e-84f25c6041fa,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-26T13:00:04.769372,02bf6f00-a631-41d3-aa2e-84f25c6041fa,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-26T14:00:04.767586,02bf6f00-a631-41d3-aa2e-84f25c6041fa,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-26T15:00:04.748964,02bf6f00-a631-41d3-aa2e-84f25c6041fa,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-26T16:00:04.819425,dc3ed39b-8ed2-4a79-b5c3-ffebc51a8ada,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-27T05:05:12.553833,dc3ed39b-8ed2-4a79-b5c3-ffebc51a8ada,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-27T06:00:04.699845,dc3ed39b-8ed2-4a79-b5c3-ffebc51a8ada,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-27T12:00:04.881677,63c0f39d-9337-49b4-b8d7-d881b2821c4d,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
2026-01-28T12:04:55.293016,63c0f39d-9337-49b4-b8d7-d881b2821c4d,USDJPY,0.0,NONE,N/A,SKIPPED,0.0,Data: No prices returned
